Paises;Sum of deaths;health expend_2019;health expend_2020;TotalPop;Deaths_pc
Israel;2999;3.454.468.018;3.867.404.541;8519373;0,000352021
Italy;64520;291.062.793;305.704.248;60359546;0,001068928
Jamaica;273;3.430.619.202;3.257.205.505;2948277;9,26E-05
Japan;2585;4.378.774.902;4.388.095.703;126860299;2,04E-05
Jersey;32;Na;Na;107796;0,000296857
Jordan;3365;3.148.845.215;2.986.446.228;10101697;0,000333112
Kazakhstan;2552;2.700.130.615;3.415.420.837;18551428;0,000137564
Kenya;1587;8.606.783.295;8.339.618.683;52573967;3,02E-05
Kosovo;1198;Na;Na;1798506;0,000666108
Kuwait;911;1.643.569.702;1.532.560.181;4207077;0,00021654
Kyrgyzstan;1312;6.305.092.621;6.369.342.041;6415851;0,000204494
Laos;0;Na;Na;7169456;0
Latvia;349;1.183.115.112;1.313.354.126;1919968;0,000181774
Lebanon;1200;7.316.715.698;9.944.899.902;6855709;0,000175037
Lesotho;44;1.205.479.584;1.070.990.677;2125267;2,07E-05
Liberia;83;5.209.077.454;5.670.612.335;4937374;1,68E-05
Libya;1299;0;0;6777453;0,000191665
Liechtenstein;18;Na;Na;38378;0,000469019
Lithuania;825;1.369.979.492;1.522.168.457;2794184;0,000295256
Luxembourg;396;622.173.877;6757;613894;0,000645063
Madagascar;258;1.935.046.577;1.794.573.784;26969306;9,57E-06
Malawi;187;3.001.859.474;329.824.791;18628749;1,00E-05
Malaysia;415;4.274.628.601;4.186.626.587;31949789;1,30E-05
Maldives;48;8.515.093.994;8.255.690.308;530957;9,04E-05
Mali;194;3.261.206.436;3.545.159.149;19658023;9,87E-06
Malta;166;2.943.631.348;3.135.405.311;493559;0,000336333
Marshall_Islands;0;Na;Na;58791;0
Mauritania;222;602.051.506;5.904.924.774;4525698;4,91E-05
Mauritius;10;6.718.604.736;5.604.064.331;1269670;7,88E-06
Mexico;113953;5.527.042.236;538.574.585;127575529;0,00089322
Moldova;2572;284.306.366;3.066.489.258;4043258;0,000636121
Monaco;2;3.055.439.209;3.085.443.604;33085;6,05E-05
Mongolia;0;1.828.653.565;1.998.163.147;3225166;0
Montenegro;582;7.323.495.483;866.168.335;622182;0,000935418
Montserrat;1;Na;Na;4991;0,000200361
Morocco;6624;1.772.479.401;187.404.007;36471766;0,00018162
Mozambique;142;4.041.281.128;3.428.385.544;30366043;4,68E-06
Myanmar;2268;6.115.328.217;7.211.206.124;54045422;4,20E-05
Namibia;160;4.318.178.101;3.795.402.832;2494524;6,41E-05
Nepal;1698;5.283.312.607;5.831.042.099;28608715;5,94E-05
Netherlands;10034;5.340.612.793;5.846.154.785;17282163;0,000580599
New_Caledonia;0;Na;Na;282757;0
New Zealand;25;408.159.082;4.201.629.395;4783062;5,23E-06
Nicaragua;162;1.619.863.434;1.611.998.138;6545503;2,47E-05
Niger;80;3.121.994.209;3.500.711.823;23310719;3,43E-06
Nigeria;1197;6.968.148.041;6.976.184.845;200963603;5,96E-06
The Republic of North Macedonia;2121;42.138.974;4.529.664.002;2077132;0,00102112
Northern_Mariana_Islands;2;Na;Na;57213;3,50E-05
Norway;387;8.007.355.469;7.704.436.035;5328212;7,26E-05
Oman;1471;7.282.548.218;8.446.165.772;4974992;0,000295679
Pakistan;8832;3.707.548.523;3.602.741.241;216565317;4,08E-05
Palestine;1079;Na;Na;4981422;0,000216605
Panama;3356;1.318.037.598;1.214.548.462;4246440;0,000790309
Papua New Guinea;8;6.031.322.479;6.392.642.593;8776119;9,12E-07
Paraguay;1953;415.888.794;4.056.254.273;7044639;0,000277232
Peru;36677;3.665.649.109;3.885.455.627;32510462;0,00112816
Philippines;8733;1.422.366.486;1.647.370.758;108116622;8,08E-05
Poland;22864;1.014.038.208;1.025.984.863;37972812;0,000602115
Portugal;5559;2.221.730.957;2.341.640.137;10276617;0,000540937
Puerto_Rico;1272;Na;Na;2933404;0,000433626
Qatar;240;2.207.654.297;2.188.382.813;2832071;8,47E-05
Romania;13385;7.385.581.665;8.095.888.062;19414458;0,000689435
Russia;46941;653.999.939;7.738.782.959;145872260;0,000321795
Rwanda;56;510.831.871;5.749.529.648;12626938;4,43E-06
Saint Kitts and Nevis;0;1.204.340.942;1.104.942.139;52834;0
Saint Lucia;4;5.141.644.287;6.077.525.024;182795;2,19E-05
